usr_id,oprcod,wh_id
SAMNI,PALTPF,SGDC
SAPIEE,PALTPF,SGDC
SARAVANAN,PALTPF,SGDC
SASITHAREN,PALTPF,SGDC
SHAM,PALTPF,SGDC
SHNEO,PALTPF,SGDC
SJ133744,PALTPF,SGDC
SLAVINE,PALTPF,SGDC
SN0137087,PALTPF,SGDC
SP0131597,PALTPF,SGDC
SP133057,PALTPF,SGDC
SQ0138815,PALTPF,SGDC
SSHYAM,PALTPF,SGDC
STEVE,PALTPF,SGDC
SUPER,PALTPF,SGDC
SUPERVISOR,PALTPF,SGDC
SUPRA,PALTPF,SGDC
SURESHRAMALINGAM,PALTPF,SGDC
SUSANTAN,PALTPF,SGDC
SYAZWAN,PALTPF,SGDC
SYEDM,PALTPF,SGDC
TANPK,PALTPF,SGDC
TEMP1,PALTPF,SGDC
TEMP2,PALTPF,SGDC
TEMP3,PALTPF,SGDC
TEMP4,PALTPF,SGDC
TEMP5,PALTPF,SGDC
TEOKIAH,PALTPF,SGDC
TEOKIMJOO,PALTPF,SGDC
TIMONTHY,PALTPF,SGDC
VIGNESHWARAS,PALTPF,SGDC
WANGJANG,PALTPF,SGDC
WEEKIAT,PALTPF,SGDC
WEEYAN,PALTPF,SGDC
YANG,PALTPF,SGDC
YATIM,PALTPF,SGDC
YAZIT,PALTPF,SGDC
YEOPOH,PALTPF,SGDC
YH0145013,PALTPF,SGDC
YOGESH,PALTPF,SGDC
YONGMENG,PALTPF,SGDC
ZAKARIABIN,PALTPF,SGDC
ZHANGHE,PALTPF,SGDC
ZHENYINQ,PALTPF,SGDC
ZHIQIANG,PALTPF,SGDC
ZL0132877,PALTPF,SGDC
ZULILLAZI,PALTPF,SGDC
ZULSALLEH,PALTPF,SGDC
ZULYUNOS,PALTPF,SGDC
ZUOZHUANG,PALTPF,SGDC
AJITHA,CTNTPF,SGDC
AKBHUVANESH,CTNTPF,SGDC
AKMAL,CTNTPF,SGDC
ALAW,CTNTPF,SGDC
ALISA,CTNTPF,SGDC
AMIRAB,CTNTPF,SGDC
AMY,CTNTPF,SGDC
ANTHONY,CTNTPF,SGDC
APENLESK,CTNTPF,SGDC
AS0130288,CTNTPF,SGDC
AS0132878,CTNTPF,SGDC
ASHOKKUMAR,CTNTPF,SGDC
AYUB,CTNTPF,SGDC
AZIMAN,CTNTPF,SGDC
B ISMAIL,CTNTPF,SGDC
BENGHUA,CTNTPF,SGDC
BIN KOMARUDIN,CTNTPF,SGDC
BRIDGET,CTNTPF,SGDC
C_CLEONG,CTNTPF,SGDC
CHANFANN,CTNTPF,SGDC
CHINCHEEW,CTNTPF,SGDC
CHINGMEI,CTNTPF,SGDC
CHNGSHUN,CTNTPF,SGDC
CHONG,CTNTPF,SGDC
CHRISNATOAL,CTNTPF,SGDC
CHUNKAI,CTNTPF,SGDC
CRYSTALKHO,CTNTPF,SGDC
CW0145014,CTNTPF,SGDC
DEBBIE,CTNTPF,SGDC
DJAISHREE,CTNTPF,SGDC
DL0138873,CTNTPF,SGDC
DROE,CTNTPF,SGDC
EDMUND,CTNTPF,SGDC
EDMUNDPENG,CTNTPF,SGDC
ELAVARASU,CTNTPF,SGDC
ELROND,CTNTPF,SGDC
FADIR,CTNTPF,SGDC
FARAHKAN,CTNTPF,SGDC
FOOKOCK,CTNTPF,SGDC
GAGANA,CTNTPF,SGDC
GAYATHRIL,CTNTPF,SGDC
GC145048,CTNTPF,SGDC
GEORGE,CTNTPF,SGDC
GHAYATHRI,CTNTPF,SGDC
GOWRI,CTNTPF,SGDC
GPAVITHRA,CTNTPF,SGDC
GUION,CTNTPF,SGDC
